col_0_0_	col_1_0_	col_2_0_
A00001632	260.000000000	3120.000000000
A00002473	260.000000000	3120.000000000
A00002221	260.000000000	3120.000000000
A00002514	260.000000000	3120.000000000
A00002252	260.000000000	3120.000000000
A00002482	260.000000000	3120.000000000
A00001953	260.000000000	3120.000000000
A00002141	260.000000000	3120.000000000
A00002467	260.000000000	3120.000000000
A00002234	260.000000000	3120.000000000
A00002220	260.000000000	3120.000000000
A00002194	260.000000000	3120.000000000
A00002189	260.000000000	3120.000000000
A00002321	260.000000000	3120.000000000
A00002393	260.000000000	3120.000000000
A00002284	260.000000000	3120.000000000
A00002478	260.000000000	3120.000000000
A00002579	260.000000000	3120.000000000
A00002087	260.000000000	3120.000000000
A00002605	260.000000000	3120.000000000
A00002316	260.000000000	3120.000000000
A00002547	260.000000000	3120.000000000
A00002325	260.000000000	3120.000000000
A00001704	260.000000000	3120.000000000
A00001628	260.000000000	3120.000000000
A00001789	260.000000000	3120.000000000
A00001686	260.000000000	3120.000000000
A00001675	260.000000000	3120.000000000
A00001699	260.000000000	3120.000000000
A00001690	260.000000000	3120.000000000
A00001636	260.000000000	3120.000000000
A00001994	260.000000000	3120.000000000
A00001627	260.000000000	3120.000000000
A00002037	260.000000000	3120.000000000
A00001656	260.000000000	3120.000000000
A00002038	260.000000000	3120.000000000
A00001749	260.000000000	3120.000000000
A00001936	260.000000000	3120.000000000
A00001901	260.000000000	3120.000000000
A00002091	260.000000000	3120.000000000
A00001980	260.000000000	3120.000000000
A00002454	260.000000000	3120.000000000
A00002035	260.000000000	3120.000000000
A00002297	260.000000000	3120.000000000
A00002059	260.000000000	3120.000000000
A00002102	260.000000000	3120.000000000
A00002094	260.000000000	3120.000000000
A00002184	260.000000000	3120.000000000
A00001925	260.000000000	3120.000000000
A00002193	260.000000000	3120.000000000
A00002058	260.000000000	3120.000000000
A00002613	260.000000000	3120.000000000
A00002422	260.000000000	3120.000000000
A00001692	260.000000000	3120.000000000
A00002504	260.000000000	3120.000000000
A00001721	260.000000000	3120.000000000
A00002080	260.000000000	3120.000000000
A00002010	260.000000000	3120.000000000
A00002134	260.000000000	3120.000000000
A00001942	260.000000000	3120.000000000
A00002164	260.000000000	3120.000000000
A00002216	260.000000000	3120.000000000
A00002571	260.000000000	3120.000000000
A00002324	260.000000000	3120.000000000
A00002606	260.000000000	3120.000000000
A00002074	260.000000000	3120.000000000
A00001664	260.000000000	3120.000000000
A00002492	260.000000000	3120.000000000
A00001716	260.000000000	3120.000000000
A00002611	260.000000000	3120.000000000
A00001890	260.000000000	3120.000000000
A00001634	260.000000000	3120.000000000
A00001683	260.000000000	3120.000000000
A00001673	260.000000000	3120.000000000
A00001701	260.000000000	3120.000000000
A00001811	260.000000000	3120.000000000
A00001810	260.000000000	3120.000000000
A00001639	260.000000000	3120.000000000
